"Ink!Sans Fight 0.39","Phase2 No GKey"
"Ink!Sans Fight 0.39","Phase3 True Genocide!Asgore No GKey"
"Ink!Sans Fight 0.39","Phase3 Ultimatale Undyne EX No GKey"
"Bad Time Trio by luye!","Normal"
