"AU","Detail"
"本家","Undyne the Undying"
"Ink!Sans Fight 0.39","Phase3 True Genocide!Asgore Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Ultimatale Alphys Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Storyswap Color Asriel Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Disbelief Papyrus Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Rosetale Muffet Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Altertale Toriel Yes GKey"
"Ink!Sans Fight 0.39","Phase3 OverSave-Tale Mettaton NEO Yes GKey"
"Ink!Sans Fight 0.39","Phase3 Ultimatale Undyne EX Yes GKey"
